hospital_name,address,negeri,latitude,longitude
Hospital Enche' Besar Hajjah Kalsom,"KM 5, Jalan Kota Tinggi, 86000 Kluang, Johor",Johor,2.0326512,103.3320979
Hospital Kota Tinggi,"Jalan Tun Habab, Pekan Kota Tinggi, 81900 Kota Tinggi, Johor",Johor,1.7356635,103.8986285
Hospital Mersing,"Jalan Ismail, 86800 Mersing, Johor",Johor,2.4287143,103.8459042
Hospital Pakar Sultanah Fatimah,"Jln Salleh, Taman Utama Satu, 84000 Muar, Johor",Johor,2.0564159,102.5767931
Hospital Permai,"Jalan Tampoi, Tampoi, 81200 Johor Bahru, Johor",Johor,1.5223941,103.7043969
Hospital Pontian,"Jalan Alsagoff, 82000 Pontian, Johor",Johor,1.498876,103.3860102
Hospital Segamat,"KM 6 Jalan Genuang, 85000 Segamat, Johor",Johor,2.4928993,102.8593043
Hospital Sultan Ismail Johor Bahru,"Jalan Persiaran Mutiara Emas Utama, Taman Mount Austin, 81100 Johor Bahru, Johor",Johor,1.5478371,103.7907985
Hospital Sultanah Aminah,"Jalan Persiaran Abu Bakar Sultan, 80000 Johor Bahru, Johor",Johor,1.4600801,103.7469025
Hospital Sultanah Nora Ismail,"Jalan Korma, Taman Soga, 83000 Batu Pahat, Johor",Johor,1.8373207,102.94181
Hospital Tangkak,"Jalan Hospital, Tangkak Muar, 84900 Tangkak, Johor",Johor,2.2706252,102.5483355
Hospital Temenggong Seri Maharaja Tun Ibrahim,"81000 Kulai, Johor",Johor,1.6438791,103.6066531
Hospital Baling,"Jalan Hospital Baling, 09100 Baling, Kedah",Kedah,5.6783677,100.9266299
Hospital Jitra,"Jalan Changlun, 06000 Jitra, Kedah",Kedah,6.2788378,100.4179074
Hospital Kuala Nerang,"06300 Kuala Nerang, Kedah",Kedah,6.2507418,100.6099783
Hospital Kulim,"Jalan Mahang, 09000 Kulim, Kedah",Kedah,5.390833,100.573688
Hospital Langkawi,"Bukit Tekuh, Jalan Padang Maksirat, 07000 Langkawi, Kedah",Kedah,6.3251837,99.7968897
Hospital Pendang,"Kampung Manggol Pauh, 06700 Pendang, Kedah",Kedah,5.9770837,100.4839675
Hospital Sik,"08200 Sik, Kedah",Kedah,5.811816,100.7271215
Hospital Sultan Abdul Halim,"Jalan Lencongan Timur, Bandar Amanjaya, 08000 Sungai Petani, Kedah",Kedah,5.6704715,100.5167792
Hospital Sultanah Bahiyah,"KM 6, Jalan Langgar, 05460 Kota Setar, Kedah",Kedah,6.149064,100.4067648
Hospital Yan,"Batu 25, Jalan Yan, 06900 Yan, Kedah",Kedah,5.8197935,100.3848697
Hospital Gua Musang,"Bandar Baru Gua Musang, 18300 Gua Musang, Kelantan",Kelantan,4.8595653,101.9547287
Hospital Jeli,"Bandar Jeli, 17600 Jeli, Kelantan",Kelantan,5.7006097,101.8436705
Hospital Machang,"D18 Jalan Pasir Puteh, Kampung Bukit Tiu, 18500 Machang, Kelantan",Kelantan,5.7648494,102.226234
Hospital Pasir Mas,"Jalan Meranti, 17000 Pasir Mas, Kelantan",Kelantan,6.0129717,102.1186083
Hospital Raja Perempuan Zainab II,"Jalan Hospital, 15000 Kota Bharu, Kelantan",Kelantan,6.1247735,102.2456875
Hospital Sultan Ismail Petra,"Jalan Kota Bharu, 18000 Kuala Krai, Kelantan",Kelantan,5.4976662,102.2254013
Hospital Tanah Merah,"17500 Tanah Merah, Kelantan",Kelantan,5.8093397,102.1530846
Hospital Tengku Anis,"Jalan Pasir Puteh, 16800 Pasir Puteh, Kelantan",Kelantan,5.832952,102.386766
Hospital Tumpat,"Jalan Kelaburan, 16200 Tumpat, Kelantan",Kelantan,6.1899668,102.1575846
